"","X.2","X","Time.one","Time.two","email","A1","A2","A3","A4","A5","A1o","A1s","A2o","A2s","A3o","A3s","A4o","A4s","A5s","X.1","B1","B2","B3","B4","B5","B1o","B1s","B2o1","B2o2","B2o3","B2o4","B2s1","B2s2","B3o","B3s","B4o","B4s","B5s"
"1",1,1,"A","","3C7HZS8XILHEOWG6I1M9",2,3,1,0,1,"A",5,"B",0,"A",3,"B",0,0,NA,NA,NA,NA,NA,NA,"",NA,"","","","",NA,NA,"",NA,"",NA,NA
"2",2,2,"A","B","75178J7VE8PL910EAF90",3,4,2,2,1,"A",4,"B",1,"A",3,"B",1,0,NA,3,1,3,0,0,"A",3,"none","Yes","none","No",0,0,"B",1,"B",0,0
"3",3,3,"B","A","1ZXLS3ILACUYDNCRG24U",3,1,3,1,0,"A",4,"A",2,"A",4,"B",2,0,NA,2,4,2,1,0,"A",4,"none","Yes","vague","Yes",1,0,"A",3,"B",0,1
"4",4,4,"B","","VK9S6CM7GN2XDDFNZT27",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,NA,1,0,2,1,0,"A",2,"none","No","none","No",0,0,"B",1,"B",0,0
"5",5,5,"A","B","UE4SKBGW3B4FOQZUSTR2",1,2,1,0,4,"A",4,"A",3,"A",3,"A",3,0,NA,3,3,2,2,2,"A",4,"Strong","Yes","Strong","Yes",4,4,"A",3,"B",0,1
"6",6,6,"B","A","4UUDMFB1EBNB36SUIXJX",4,3,2,3,1,"A",5,"A",3,"A",5,"B",1,1,NA,3,2,4,1,4,"A",4,"weak","No","vague","No",2,4,"A",5,"B",0,4
"7",7,7,"B","A","PNLP80B7GDUWKKBUHOU5",0,0,0,0,0,"B",0,"B",0,"B",0,"B",0,0,NA,0,0,0,0,0,"B",1,"none","No","none","No",0,0,"B",0,"B",0,1
"8",8,8,"B","A","ZZXPVB8OJIW1RUP9WSQH",1,0,0,0,0,"B",1,"B",0,"B",0,"B",0,0,NA,1,0,1,0,0,"A",0,"none","No","none","No",0,0,"A",0,"B",0,0
"9",9,9,"B","A","QHS5A2ZJUQ4EJ7Y8BO8S",2,0,1,0,0,"A",0,"B",0,"B",2,"B",2,0,NA,2,3,1,3,0,"A",4,"weak","Yes","vague","Yes",1,2,"B",2,"B",0,0
"10",10,10,"A","B","XMZX64FGK6T7YS6APHE5",0,1,0,3,1,"B",1,"B",0,"B",0,"B",0,0,NA,0,0,3,0,0,"B",0,"none","No","none","No",0,0,"B",0,"B",0,0
"11",11,11,"A","","GG0T4XH74XVOE6M1QHBP",0,0,0,1,0,"B",3,"B",0,"B",1,"B",1,0,NA,NA,NA,NA,NA,NA,"",NA,"","","","",NA,NA,"",NA,"",NA,NA
