"","X.2","X","Time.one","Time.two","email","A1","A2","A3","A4","A5","A1o","A1s","A2o","A2s","A3o","A3s","A4o","A4s","A5s","X.1","B1","B2","B3","B4","B5","B1o","B1s","B2o1","B2o2","B2o3","B2o4","B2s1","B2s2","B3o","B3s","B4o","B4s","B5s"
"1",1,1,"A","B","LQDTMY1AC9CQ1ZTITQNG",3,3,3,2,1,"A",3,"A",3,"B",4,"B",3,3,NA,3,2,3,2,1,"A",3,"Vague","Yes","Weak","Yes",2,2,"B",2,"B",0,3
"2",2,2,"A","B","T2UJ0HO2U8P7M2THGEDS",0,0,0,0,0,"B",2,"B",0,"B",0,"B",0,0,NA,0,0,0,1,0,"B",0,"None","No","None","No",0,0,"B",0,"B",0,0
"3",3,3,"A","B","FU6XZQV6SWS7X4DFS9EY",1,1,1,0,0,"A",4,"A",0,"B",1,"B",0,2,NA,1,2,1,0,1,"B",2,"None","No","None","No",0,0,"B",2,"B",0,0
"4",4,4,"A","B","Z5HD6R67333FNXK0G1NL",0,1,1,2,0,"B",1,"B",0,"B",1,"A",2,0,NA,0,0,1,0,0,"B",0,"None","No","None","No",0,0,"B",1,"B",0,0
"5",5,5,"A","B","34SLY6609CEAIBE05T41",1,2,0,0,0,"A",4,"A",1,"B",1,"B",0,0,NA,1,0,1,0,0,"B",1,"None","No","None","No",0,0,"B",1,"B",0,0
"6",6,6,"A","B","00II5SSMESCCNOIW5C1Z",1,1,2,2,1,"A",3,"B",0,"B",3,"B",0,0,NA,4,1,3,1,1,"A",3,"Vague","Yes","Vague","Yes",2,1,"B",3,"B",0,1
"7",7,7,"A","B","N8RKP5A0869G4FOC7DJ5",0,1,0,0,0,"A",2,"B",0,"B",0,"A",3,0,NA,0,0,1,0,0,"B",0,"None","No","None","No",0,0,"B",1,"B",0,0
"8",8,8,"B","A","QZ6YSTRKXT5SVERTTA8H",4,2,3,5,1,"B",3,"B",0,"B",1,"A",3,0,NA,5,3,5,1,0,"A",4,"None","No","Strong","Yes",4,0,"A",4,"B",0,2
